date,open,high,low,close,volume,RSI,Stoch,SMA_50,SMA_200,EV/EBITDA,P/E
11-27-2024,341.8,342.55,326.59,332.89,57181887.0,60.63364463884618,54.81562159639019,270.619,214.05044999999998,53.55128512941681,-1000.638
11-29-2024,336.08,345.45,334.6501,345.16,36645458.0,57.61741122565864,68.18440523619809,272.6438,214.83270000000002,53.55128512941681,-1000.638
12-02-2024,352.38,360.0,351.1501,357.09,76206078.0,52.52690854658208,90.81768165433498,275.0206,215.61589999999995,53.55128512941681,-1000.638
12-03-2024,351.8,355.69,348.2,351.42,57079765.0,59.2125351546806,80.06070954278127,277.04900000000004,216.37325,53.55128512941681,-1000.638
12-04-2024,353.0,358.1,348.6,357.93,49419848.0,60.71511492918505,92.411307152343,279.1222,217.1941,53.55128512941681,-1000.638
12-05-2024,359.87,375.43,359.5,369.49,80671224.0,73.95448196532743,91.02854553692795,281.3716,218.0677,53.55128512941681,-1000.638
12-06-2024,377.42,389.49,370.8,389.22,80930635.0,75.96664139499622,99.57074721780607,284.0716,219.02675,53.55128512941681,-1000.638
12-09-2024,397.61,404.8,378.01,389.79,95373769.0,72.30231542158148,80.80808080808083,286.6582,220.01585000000003,53.55128512941681,-1000.638
12-10-2024,392.68,409.73,390.85,400.99,97619098.0,73.22408987245545,89.48761125811883,289.4454,221.02380000000002,53.55128512941681,-1000.638
12-11-2024,409.7,424.88,402.38,424.77,103207026.0,79.93487698986976,99.88808627530776,292.7804,222.14899999999997,53.55128512941681,-1000.638
12-12-2024,424.84,429.3,415.0,418.1,87450947.0,77.53368893879846,89.09551163469965,296.16200000000003,223.2293,53.55128512941681,-1000.638
12-13-2024,420.0,436.3,415.71,436.23,88419044.0,78.32622384724765,99.93619542430044,300.0734,224.40105,53.55128512941681,-1000.638
12-16-2024,441.09,463.19,436.15,463.02,113147500.0,88.7608248707246,99.87554904831623,304.3322,225.70295000000002,53.55128512941681,-1000.638
12-17-2024,475.9,483.99,457.5101,479.86,129534242.0,90.01073506977798,97.37611181702668,309.1128,227.16155000000003,53.55128512941681,-1000.638
12-18-2024,466.495,488.5399,427.01,440.13,149033301.0,75.36663828176745,68.54248949573007,313.0254,228.45850000000002,53.55128512941681,-1000.638
12-19-2024,451.88,456.36,420.02,436.17,118488518.0,72.40852907864286,62.6835276354052,316.9278,229.75665,53.55128512941681,-1000.638
12-20-2024,425.505,447.08,417.64,421.06,129046402.0,65.50787878787881,51.91681054354464,320.5736,230.96869999999998,53.55128512941681,-1000.638
12-23-2024,431.0,434.51,415.4112,430.6,71671069.0,68.84161431562917,58.5965832475227,324.8296,232.245,53.55128512941681,-1000.638
12-24-2024,435.9,462.78,435.14,462.28,59371086.0,72.17476305835352,79.64978274161712,329.69200000000006,233.66755,53.55128512941681,-1000.638
12-26-2024,465.16,465.3299,451.02,454.13,76417798.0,68.25081938933931,70.77464818638371,334.3832,235.0505,53.55128512941681,-1000.638
12-27-2024,449.52,450.0,426.5,431.66,82153407.0,59.044412241070674,48.53890214322101,338.58979999999997,236.3614,53.55128512941681,-1000.638
12-30-2024,419.4,427.0,415.75,417.41,63882851.0,55.56182037857432,27.188071643025545,342.5202,237.63594999999998,53.55128512941681,-1000.638
12-31-2024,423.79,427.93,402.54,403.84,75352539.0,50.568476483025485,1.6945237865874725,346.18299999999994,238.8373,53.55128512941681,-1000.638
01-02-2025,390.1,392.7299,373.04,379.28,108874734.0,40.9544641081726,5.402602080174922,349.39160000000004,239.8647,53.55128512941681,-1000.638
01-03-2025,381.48,411.8799,379.45,410.44,94141976.0,48.61201710516778,32.38098041643325,353.241,241.0603,53.55128512941681,-1000.638
01-06-2025,423.2,426.43,401.7,411.05,85279764.0,45.12808606145035,32.90911940183498,357.189,242.23725,53.55128512941681,-1000.638
01-07-2025,405.83,414.33,390.0,394.36,74746864.0,36.175096649484544,18.458890440597784,359.86660000000006,243.34494999999998,53.55128512941681,-1000.638
01-08-2025,392.95,402.4999,387.4,394.94,72031826.0,31.70300784279928,18.961055377537107,362.38159999999993,244.4655,53.55128512941681,-1000.638
01-10-2025,391.4,399.28,377.29,394.74,61855030.0,38.212226665974136,23.512865438146527,365.0262,245.57605,53.55128512941681,-1000.638
01-13-2025,383.21,403.79,380.07,403.31,66880038.0,41.66582124378615,32.798821972935265,367.90200000000004,246.70425,53.55128512941681,-1000.638
01-14-2025,414.34,422.64,394.54,396.36,84320305.0,43.46491692242566,25.26820377961185,370.6782,247.78689999999997,53.55128512941681,-1000.638
01-15-2025,409.9,429.8,405.661,428.22,80545916.0,49.4368196876479,59.78985782842978,374.24559999999997,249.04905,53.55128512941681,-1000.638
01-16-2025,423.49,424.0,409.13,413.82,67415747.0,37.511596742603864,44.18685034873803,377.5424,250.24204999999998,53.55128512941681,-1000.638
01-17-2025,421.5,439.74,419.75,426.5,93720727.0,43.042054898010576,69.46465696465695,381.2156,251.54139999999998,53.55128512941681,-1000.638
01-21-2025,432.64,433.2,406.31,424.07,86135522.0,47.87406867962578,76.50674662668663,384.6682,252.81985,53.55128512941681,-1000.638
01-22-2025,416.81,428.0,414.59,415.11,58607285.0,49.336104375938106,63.07346326836581,387.1998,254.03985,53.55128512941681,-1000.638
01-23-2025,416.06,420.73,408.95,412.38,50256265.0,52.629634191402886,58.98050974512741,389.50919999999996,255.27724999999998,53.55128512941681,-1000.638
01-24-2025,414.45,418.88,405.78,406.58,56040899.0,59.504247319314864,46.90152121697353,391.2164,256.44525,53.55128512941681,-1000.638
01-27-2025,394.8,406.69,389.0,397.15,57530206.0,44.548363278365734,31.801441152922273,392.1594,257.5466,53.55128512941681,-1000.638
01-28-2025,396.91,400.59,386.5,398.09,48182215.0,44.698085419734895,33.30664531625294,393.5514,258.67825,53.55128512941681,-1000.638
01-29-2025,395.21,398.5899,384.48,389.1,67539680.0,47.70345791128187,18.911128903122503,394.72860000000003,259.75075,53.55128512941681,-1000.638
01-30-2025,410.78,412.5,384.41,400.28,97306057.0,52.13395140664961,36.81345076060842,396.51060000000007,260.8969,53.55128512941681,-1000.638
01-31-2025,401.53,419.99,401.34,404.6,83120943.0,53.81460848034664,41.10943522708232,398.1882,262.1125,53.55128512941681,-1000.638
02-03-2025,386.68,389.17,374.36,383.68,92548135.0,43.06801327777385,14.255123891098187,399.087,263.24535,53.55128512941681,-1000.638
02-04-2025,382.63,394.0,381.4,392.21,56538834.0,48.55067402388767,27.301927194860763,400.0112,264.42915,53.55128512941681,-1000.638
02-05-2025,387.51,388.39,375.53,378.17,57122240.0,30.03589948145192,5.827470174365254,400.73400000000004,265.57035,53.55128512941681,-1000.638
02-06-2025,373.03,375.4,363.18,374.32,77683541.0,32.79616724738675,14.550679205851601,401.42760000000004,266.70669999999996,53.55128512941681,-1000.638
02-07-2025,370.19,380.5459,360.34,361.62,69940474.0,21.74708238982754,1.7567938512215608,401.6088,267.80455,53.55128512941681,-1000.638
02-10-2025,356.21,362.7,350.51,350.73,76663686.0,20.254704737183644,0.28390760098080686,401.85159999999996,268.83480000000003,53.55128512941681,-1000.638
02-11-2025,345.8,349.37,325.1,328.5,117845662.0,18.28634199926765,3.555369653874284,401.657,269.66665,53.55128512941681,-1000.638
02-12-2025,329.94,346.4,329.12,336.51,104510014.0,23.253190439258248,12.024449362419611,401.7294,270.4983,53.55128512941681,-1000.638
